keyword,score
너무,0.048625671888308374
책을,0.032202828865438994
있는,0.03177436483203322
정말,0.029502744701733134
좋은,0.023874707242662385
대한,0.023523662279664785
읽고,0.022764002300416798
다시,0.018718617300047508
있습니다,0.017707514121885388
책입니다,0.01738743303793329
많이,0.01737174197894506
책이,0.017349592145583577
좋아요,0.017344442090547148
책은,0.015554625571333296
보고,0.01545061310564443
있다,0.015056355268525137
하는,0.014950908824572139
다른,0.01442186316694955
많은,0.014034021237968113
있어서,0.012809086850712427
쉽게,0.012574959956052739
기대됩니다,0.012560717459808426
역시,0.012430308781110204
이렇게,0.012384658688899913
읽는,0.012323117485686841
이런,0.011810146684087986
감사합니다,0.011755897643044574
같은,0.011654255247851322
그리고,0.011564720077713638
대해,0.011231565085628763
없는,0.011221398798358328
진짜,0.011205807799849567
내가,0.011009492733142855
같아요,0.011002401363862775
바로,0.010611079996834426
가장,0.010610809446075549
읽을,0.010385479147299245
함께,0.010361748607793382
이야기,0.01032939655613913
작가의,0.010085879651054449
어떻게,0.010051190191525422
책이다,0.010000249464682075
재밌게,0.009775016504726751
내용이,0.009740175641291928
재미있게,0.009645760489861436
하지만,0.009524233156645205
재밌어요,0.009502499901877634
좋습니다,0.009281405976306088
모든,0.009140651814283526
도움이,0.009103539999923927
하고,0.008938850700189589
마음에,0.008880301029043561
그냥,0.008853027580248219
어떤,0.008833758848335264
되는,0.008829572626820064
빨리,0.008718301481827803
있어,0.0085064365793713
읽기,0.008496800784421808
것이,0.008480967618239025
싶은,0.008442085741095073
같다,0.00841465270109817
읽었습니다,0.008413872251753197
아주,0.00831612281449812
소설,0.008060977607785194
합니다,0.008042681847979892
드디어,0.007956289665116583
아니라,0.007795725988301314
보는,0.007654760772756091
읽은,0.00765255394161369
나는,0.007631899536008472
없다,0.007540206014248476
통해,0.007526930788209049
조금,0.007480392461274886
처음,0.0074735368819740956
같습니다,0.007430669999850284
새로운,0.007413148954590555
모두,0.007244947669737784
작가님,0.007233078618137554
것을,0.007228415818808139
생각이,0.00718554861279509
우리,0.007108518253565704
위해,0.007097452119379402
내용을,0.007077741219843873
마음이,0.007065720549591264
않고,0.006987229396779994
아직,0.006915287349129205
책으로,0.006912007008847975
않은,0.006876989940243565
좋다,0.006829209568308379
책의,0.006756121539749731
됩니다,0.006635458643791402
주는,0.006622011921298494
한번,0.006614346565299165
계속,0.006500101005168674
매우,0.006376039705415117
한다,0.006339414326064015
그의,0.006251640152916544
되어,0.006005956393793632
생각을,0.005839771500748274
글을,0.005796829430256685
